Anniston-Calhoun County AL,88.4,93.2,72.8,103.2,90.1,83.1,95.4,31399,1.131221719,0.59192022,0.669593009
Auburn-Opelika AL,97.9,104.8,82.3,95.4,93.2,92.6,111.9,37406,1.02145046,0.705161558,0.720287597
Birmingham AL,91.3,101.3,75.5,96,90.5,84.3,100.5,31445,1.095290252,0.592787392,0.649274252
Decatur-Hartselle AL,88.8,98,70.2,108.7,92.8,88.7,93,42867,1.126126126,0.808109942,0.910033719
Dothan AL,87.9,101.8,80.7,87.2,91.7,83.1,87.4,42135,1.137656428,0.794310598,0.903652558
Florence AL,91.2,96.3,81.2,101.3,93.7,86.7,94.1,35632,1.096491228,0.671718885,0.736533866
Huntsville AL,94.2,100.6,79.1,105,100.1,96.6,98.5,49060,1.061571125,0.924857671,0.981802198
Mobile AL,92.4,103.8,78.5,107.6,93,87.1,95.3,62292,1.082251082,1.17430155,1.270889123
Montgomery AL,94.5,99.7,86.8,105.2,96.3,83.1,96.4,43702,1.058201058,0.823850997,0.871799997
Anchorage AK,128.1,123,157,97.2,105,139.8,122.1,81702,0.780640125,1.540210383,1.202350026
Fairbanks AK,135.4,123.1,128.1,239.4,112.7,150.6,120.2,54781,0.738552437,1.032707461,0.762708613
Juneau AK,132,128.9,158,145.7,108.6,150,112.6,42135,0.757575758,0.794310598,0.601750453
Kodiak AK,135.8,140,151.9,156.9,124.9,140.2,116.4,62292,0.736377025,1.17430155,0.864728682
Flagstaff AZ,117.5,112.3,153.9,95.3,107.4,104.4,100.6,49711,0.85106383,0.937130038,0.797557479
Bullhead City AZ,93.5,98,85.4,77.8,101.4,103,99.4,37121,1.069518717,0.699788862,0.748437286
Lake Havasu City AZ,100.1,99.4,104.3,95.3,100.1,104.3,97.8,42718,0.999000999,0.805301059,0.804496563
Phoenix AZ,95.9,100.3,92.4,96.6,102.9,101.5,93.4,46881,1.042752868,0.883780115,0.92156425
Scottsdale AZ,113.8,104.1,143.4,91.7,101.9,102.4,105.2,72455,0.878734622,1.365889982,1.200254817
Prescott-Prescott Valley AZ,97.6,96.3,104.7,88.4,93,94.7,97.1,45190,1.024590164,0.851902123,0.872850536
Sierra Vista AZ,97.1,94.4,93.1,103,102.4,96.4,97.9,58818,1.029866117,1.10881122,1.141927107
Tucson AZ,96.7,98.1,83.9,92.9,98.6,112.8,105.7,37032,1.034126163,0.698111073,0.721934926
Yuma AZ,101.1,106.1,86.6,124.5,98.4,97.6,105.6,44166,0.989119683,0.832598122,0.823539191
Fayetteville AR,89.6,93.3,79.8,103,86,90.9,93.6,36134,1.116071429,0.68118237,0.760248181
Hot Springs AR,93.3,95.4,78.1,94.5,89.7,90.4,107.3,31505,1.071811361,0.593918486,0.636568581
Jonesboro AR,86.8,92.7,78,85,87.7,85.1,92.4,40583,1.152073733,0.765052973,0.881397434
Little Rock-North Little Rock AR,98.3,94.9,95.6,108.8,94.8,86.4,101.8,44896,1.017293998,0.846359763,0.860996707
Orange County CA,147.1,106.8,242.1,123.4,121.4,107.4,104.1,75998,0.679809653,1.432681069,0.973950421
Bakersfield CA,106,109.5,104,112.8,115,106.7,100.6,56842,0.943396226,1.071560532,1.010906163
Fresno CA,105.8,104.9,101.9,127.7,109.3,102.2,101.7,41455,0.945179584,0.781491536,0.738649845
Los Angeles-Long Beach CA,134.7,104.5,204.1,112.4,112,112.1,106.1,49497,0.742390497,0.933095804,0.692721458
Oakland CA,139.6,123.5,213.4,100.8,106.4,115.8,110.2,52962,0.716332378,0.998416469,0.715198043
Riverside City CA,115.8,115.5,130.7,113.9,114,107.2,105.2,56089,0.863557858,1.057365306,0.913096119
Sacramento CA,112.5,116.1,117.4,114.7,110.7,111.8,106.5,49753,0.888888889,0.937921804,0.83370827
San Diego CA,135,105.3,203.1,111.5,116.9,112.8,105.7,65753,0.740740741,1.239546808,0.918182821
San Francisco CA,166.9,123.5,302.4,101.7,110.4,118.9,116.2,75604,0.599161174,1.425253554,0.853956593
San Jose CA,150,119.8,245.3,125.8,111.4,116.7,106.7,83787,0.666666667,1.579515892,1.053010595
Stockton CA,108.4,115.7,112.5,105.3,114.5,106.7,100.4,45347,0.922509225,0.854861818,0.788617913
Tracy CA,123.6,119.8,159.2,106.5,113,104.9,106.1,74748,0.809061489,1.409116616,1.140061987
Truckee-Nevada County CA,144.5,124.8,206.9,132.9,120.9,117.9,114.6,72159,0.692041522,1.36030992,0.941390948
Colorado Springs CO,97.2,93.3,98.4,93.9,98.5,104,97.4,54228,1.028806584,1.022282547,1.051731016
Denver CO,107.2,98.2,123.8,97.9,101.4,103.7,102.3,50313,0.932835821,0.948478679,0.884774887
Grand Junction CO,97.1,94.4,101.1,85.2,102,104.7,95.8,44887,1.029866117,0.846190099,0.871462512
Pueblo CO,84.6,95.2,70.2,91.3,98.4,95.7,83.6,34633,1.182033097,0.652886174,0.771733067
Glenwood Springs CO,115.2,99.2,139.7,95,110.2,117.4,108.9,53687,0.868055556,1.012083852,0.87854501
Gunnison CO,104.6,101.2,119.5,82.2,99.3,99.8,102.8,40723,0.956022945,0.767692192,0.73393135
Stamford CT,144.8,116.8,207.4,127.9,118.3,110.6,122.4,76779,0.690607735,1.44740414,0.999588494
Hartford CT,122.6,124.2,127.5,114.4,118,122.2,121.9,29430,0.815660685,0.554801493,0.452529766
New Haven CT,127.9,122.1,144.5,117.8,120.3,118.7,123.3,37428,0.781860829,0.705576292,0.551662465
Dover DE,101.1,108.7,84.2,111.7,102.9,102.6,108.4,46267,0.989119683,0.872205256,0.862715387
Wilmington DE,108,106.9,109.1,114.6,104.2,99.9,108,38727,0.925925926,0.730064472,0.675985623
Washington-Arlington-Alexandria DC,141.2,109.9,245.1,97.1,104.3,96.3,98,69235,0.708215297,1.30518795,0.924354072
Cape Coral-Fort Myers FL,98.6,107,87.6,86.5,112.9,103.7,102.4,49841,1.014198783,0.939580741,0.952921644
Daytona Beach FL,92.7,103.5,83,92.2,100.4,95.1,93.3,28164,1.078748652,0.530935415,0.572745863
Palm Coast-Flagler County FL,94.2,106.5,79.7,89.7,99,95.8,100.8,47634,1.061571125,0.897975342,0.953264694
Fort Lauderdale FL,114.8,107.9,143.9,98.1,110.4,97.3,101.8,49119,0.871080139,0.925969913,0.806594001
Gainesville FL,97.3,102.8,91.1,99.6,105.7,102.4,95.6,0,1.027749229,0,0
Jacksonville FL,98.1,102.3,85.4,107.4,103.8,89.6,103.3,46768,1.019367992,0.881649889,0.898725677
Miami-Dade County FL,111.1,108.3,125,97.9,111.1,103.3,105.4,43099,0.900090009,0.812483505,0.731308285
Sarasota FL,100.9,102,100.6,99.2,102,109.2,99.7,0,0.991080278,0,0
Orlando FL,99.8,101.3,93,108.6,99.1,93.2,103.5,42147,1.002004008,0.794536817,0.796129075
Punta Gorda-Charlotte Co FL,94.3,101.7,80.4,98.7,99,107.9,98,0,1.060445387,0,0
Vero Beach-Indian River FL,100.1,106.7,87.9,119.7,98.8,97.5,102.6,0,0.999000999,0,0
Tampa FL,92.1,98.5,75.9,103.9,102.1,91.2,96.1,43242,1.08577633,0.815179278,0.885102365
Albany GA,92.3,110.1,77,91.7,96.8,98.4,95.6,0,1.083423619,0,0
Atlanta GA,99.4,104.3,96.5,90.9,102,101.2,101.3,46631,1.006036217,0.879067225,0.884373465
Fayetteville-Fayette County GA,95,99.1,89.1,91.2,94.1,110,98,0,1.052631579,0,0
Marietta GA,96.5,103.1,91.6,90.3,98.9,100.1,98.6,0,1.03626943,0,0
Augusta-Aiken GA-SC,87,96.4,67.9,92.6,96.8,93.7,93.1,0,1.149425287,0,0
Dalton GA,89.9,101.5,75.5,101.1,95,92.5,91.5,0,1.112347052,0,0
Dublin-Laurens County GA,88.9,95.7,75.8,97.6,94.2,85.6,93,0,1.124859393,0,0
Savannah GA,91.3,97.7,69.6,106.8,98.9,98.7,98.6,35838,1.095290252,0.675602307,0.739980622
Statesboro-Bulloch County GA,91.8,100.6,76.4,91.3,98.3,84,100.4,0,1.089324619,0,0
Valdosta GA,95.1,108,85.9,98.3,97.9,96.4,95.2,0,1.051524711,0,0
Hilo HI,152.6,159,152.4,262.6,125.6,114.8,129.9,0,0.655307995,0,0
Honolulu HI,174.3,154.3,266.1,214.5,125.7,112,116.6,97883,0.573723465,1.845247521,1.058661802
Boise ID,94.5,93.3,86,88.8,106,103.9,98.6,48523,1.058201058,0.914734381,0.96797289
Idaho Falls ID,84,94.6,61.3,79.9,95.4,102.5,93.6,45803,1.19047619,0.863458131,1.027926346
Twin Falls ID,91.6,90.6,78.6,91.7,110,93.2,96.1,42452,1.091703057,0.800286544,0.873675266
Carbondale IL,92.8,98.5,81.8,98,102.1,99.5,93.9,0,1.077586207,0,0
Champaign-Urbana IL,99.2,99.7,90.4,114.7,95.1,115.9,101.1,0,1.008064516,0,0
Chicago IL,116.4,103.2,135.5,102,125.6,100.4,108.7,47831,0.859106529,0.9016891,0.774646993
Joliet-Will County IL,96.9,92.9,101.2,96.6,109.7,103.6,89.1,0,1.031991744,0,0
Danville IL,89.9,94.5,70.1,109.3,108,93.5,91.6,0,1.112347052,0,0
Decatur IL,88.2,90.2,80.1,90.3,90.6,92.3,92.3,0,1.133786848,0,0
Kankakee IL,95,94,91.4,97,102.5,97.4,94.9,0,1.052631579,0,0
Peoria IL,99.3,94.6,101.1,97.5,110.1,92.5,97.3,45270,1.007049345,0.853410248,0.859426231
Quincy IL,93.6,97.1,93.3,91.8,97.2,101.8,90.3,0,1.068376068,0,0
Rockford IL,91.6,99.1,80.9,92.1,98.6,100.8,93.5,38067,1.091703057,0.717622441,0.783430612
Springfield IL,87.9,95.4,80.4,76.8,101.5,105.1,87.2,49317,1.137656428,0.929702522,1.05768205
Bloomington IN,90.8,94.1,81.9,88.8,99.9,94.8,93.7,0,1.101321586,0,0
Elkhart-Goshen IN,90.9,91.8,80,88.5,98.5,94.5,97.4,0,1.100110011,0,0
Evansville IN,93.6,93.1,83.9,106.3,95.1,94.5,97.7,0,1.068376068,0,0
Fort Wayne-Allen County IN,88.8,91.9,76,94,99.2,92.2,92.5,43994,1.126126126,0.829355654,0.933959069
Indianapolis IN,93.3,93.6,82.3,95.3,98.6,98.3,99.6,41962,1.071811361,0.791049278,0.847855603
Indianapolis-Morgan County IN,89.9,97.5,74.7,97.7,96.3,97.5,94,0,1.112347052,0,0
Lafayette IN,89.9,95.1,73.3,100.8,106.8,98.1,91.1,39945,1.112347052,0.753025676,0.837625891
Muncie IN,90.2,92.3,76.3,85.2,96.9,95.5,99.7,0,1.10864745,0,0
Richmond IN,84.9,86.6,76.7,88.8,95.9,88,85.5,30096,1.177856302,0.567356634,0.668264586
South Bend IN,89.9,93.6,86.8,83.8,95.8,96.4,89.7,0,1.112347052,0,0
Ames IA,96.7,92.7,99.3,87.9,106.4,98,95,0,1.034126163,0,0
Burlington IA,88.1,93.3,79.7,100.4,83.6,87.4,90.9,0,1.13507378,0,0
Cedar Rapids IA,92.9,91.4,84.9,103.5,95.5,102.6,94.8,52216,1.076426265,0.984353203,1.059583641
Davenport-Moline-Rock Is IA,96.9,94.6,98.6,87,103.4,99.6,96.8,0,1.031991744,0,0
Des Moines IA,91.7,93.2,84,93.6,98.9,96.8,93.8,45836,1.090512541,0.864080232,0.94229033
Mason City IA,88.2,97.4,72.1,96.7,90.7,93.3,94,0,1.133786848,0,0
Waterloo-Cedar Falls IA,91.9,93.6,92.6,84.3,91.8,98.3,92.2,0,1.088139282,0,0
Dodge City KS,94.8,94.4,87,101.5,90.9,94.3,101.3,48107,1.054852321,0.906892131,0.956637269
Hutchinson KS,90.6,90.1,80.6,95.3,94.9,99.9,95.1,0,1.103752759,0,0
Manhattan KS,93.5,93.9,92.9,89.8,93.1,96.2,94.9,0,1.069518717,0,0
Salina KS,88.1,96.9,75.9,100.9,94.8,99.2,86.8,0,1.13507378,0,0
Topeka KS,92.7,94.3,83.5,89.2,92.5,96.1,100.7,40826,1.078748652,0.769633903,0.830241535
Wichita KS,91.1,95.6,72.6,110.7,96.3,96.6,96.3,46011,1.097694841,0.867379256,0.952117734
Bowling Green KY,91.5,91.8,79.8,104.2,97.6,91.3,95.2,0,1.092896175,0,0
Covington KY,87.5,89.6,73.8,96,102.8,101.5,88.2,35352,1.142857143,0.666440448,0.761646226
Lexington KY,91.7,97.2,74.3,95.7,96.1,90.3,101.7,48398,1.090512541,0.912377936,0.994959581
Louisville KY,91.7,91.9,80.1,86.3,104.5,91.3,98.6,44159,1.090512541,0.832466161,0.907814789
Paducah KY,91.5,93.8,80.8,110.6,91,86.3,94.6,0,1.092896175,0,0
Alexandria LA,97.2,99.5,92.6,85.7,93.3,99.9,105,35459,1.028806584,0.668457565,0.687713544
Baton Rouge LA,94.3,104.7,89.2,84.5,97.3,102.6,95.2,38593,1.060445387,0.727538363,0.771514701
Hammond LA,89.5,98.2,73.5,92,92.9,96,96.8,0,1.117318436,0,0
Houma-Terrebonne Parish LA,93.7,95,92.3,86.9,110.2,87,91.1,0,1.067235859,0,0
Thibodaux-Lafourche Parish LA,94.1,94.3,89.1,110,99,88.3,92.2,0,1.062699256,0,0
Lafayette LA,95.7,94.2,93.5,92.9,100.8,86.8,98.5,0,1.044932079,0,0
Lake Charles LA,95,96.6,95,95.4,98.6,98.1,92.2,0,1.052631579,0,0
Monroe LA,95.2,96,90.5,97.6,97.1,89,98.5,28470,1.050420168,0.536703993,0.563764698
New Orleans LA,96.8,100.6,95.5,84.2,102.7,100.5,97.5,36964,1.033057851,0.696829167,0.719864842
Slidell-St. Tammany Parish LA,98.4,97.9,93.2,111.7,99.9,93.1,98.9,0,1.016260163,0,0
Shreveport-Bossier City LA,90.9,93.3,84.7,97.2,92,89,93.2,0,1.100110011,0,0
Portland ME,109.8,96.6,121.6,89.7,109.7,118.9,110.5,44458,0.910746812,0.838102779,0.763299434
Baltimore MD,109.2,108.3,142.9,92.7,100.3,89.5,91.4,41385,0.915750916,0.780171926,0.714443156
Bethesda-Gaithersburg-Frederick MD,127.9,108.9,199.2,108.7,105.1,91.9,93.3,143245,0.781860829,2.700392113,2.111330815
Boston MA,137.3,113.6,174.2,135.9,107,120.5,129.8,53601,0.728332119,1.010462617,0.73595238
Framingham-Natick MA,140,108.5,204,112.1,106.9,119.7,122,67915,0.714285714,1.280303887,0.914502777
Pittsfield MA,112.5,111.6,131.7,102.7,104.6,96.9,104.5,42114,0.888888889,0.793914716,0.705701969
Fitchburg-Leominster MA,108.9,95.2,106.2,116.7,122.2,116.6,108.7,0,0.918273646,0,0
Ann Arbor MI,102.6,94.3,114.6,103.5,101.3,99.6,96.2,0,0.974658869,0,0
Detroit MI,94.9,92.9,91.2,101,99.8,96,94.9,26325,1.05374078,0.496267391,0.522937187
Grand Rapids MI,92,95,77.5,94.7,101.6,91.9,99,39271,1.086956522,0.740319723,0.804695351
Kalamazoo MI,87,86.7,69.7,97.8,99.4,96.1,92.9,31893,1.149425287,0.601232892,0.69107229
Benton Harbor MI,92.3,101.1,82.5,92.4,96.7,95.1,94.8,0,1.083423619,0,0
